cited,cites
W2963470893,W1677182931
W2963470893,W2194775991
W2963470893,W2475287302
W2963470893,W2097117768
W2963470893,W1885185971
W2963470893,W2476548250
W2963470893,W2503339013
W2963470893,W2963684088
W2963470893,W54257720
W2963470893,W2163605009
W2963470893,W2099471712
W2963470893,W2117539524
W2963470893,W2331128040
W2963470893,W1849277567
W2106578986,W1984068087
W2106578986,W2119180969
W2106578986,W2149992227
W2755950973,W2135455887
W2755950973,W3125707221
W2111619626,W2105103777
W2111619626,W2170577408
W3096831136,W2559655401
W3096831136,W2612690371
W3096831136,W2099471712
W2549139847,W2183341477
W2549139847,W2097117768
W2549139847,W2117539524
W2549139847,W2102605133
W2549139847,W1677182931
W2549139847,W2194775991
W2549139847,W1903029394
W2549139847,W1536680647
W2549139847,W2964137095
W2549139847,W2155893237
W2549139847,W2163605009
W2549139847,W639708223
W2549139847,W1861492603
W2549139847,W2274287116
W2549139847,W2963150697
W2549139847,W2302255633
W1992985800,W2000536749
W2340897893,W2088049833
W2340897893,W2919115771
W2340897893,W1536680647
W2340897893,W2102605133
W2340897893,W2117539524
W2340897893,W2031454541
W2340897893,W2037227137
W2340897893,W2115579991
W2340897893,W1903029394
W2340897893,W639708223
W2340897893,W1861492603
W2340897893,W2163605009
W2155893237,W2102605133
W2155893237,W2163605009
W2155893237,W2088049833
W3035524453,W2194775991
W3035524453,W2963150697
W3035524453,W2549139847
W3035524453,W2798991696
W3035524453,W1536680647
W3035524453,W2102605133
W3035524453,W2340897893
W3035524453,W2565639579
W3035524453,W1903029394
W3035524453,W2412782625
W3035524453,W2302255633
W3035524453,W2099471712
W3035524453,W2963341956
W3035524453,W639708223
W3035524453,W1861492603
W2157795344,W2157795344
W2573377826,W2032100925
W2573377826,W2323309348
W2573377826,W1981539053
W2573377826,W2497894926
W2573377826,W2133406747
W2573377826,W2514157351
W2573377826,W2323275360
W2573377826,W4254736414
W1981213426,W2093540905
W1981213426,W2166394891
W1981213426,W2001510610
W2954996726,W2163605009
W2954996726,W2395579298
W2954996726,W2250539671
W2954996726,W2581082771
W2954996726,W2592929672
W2954996726,W2331128040
W2954996726,W1901129140
W2954996726,W569478347
W2954996726,W2593414223
W2954996726,W54257720
W2954996726,W2145287260
W2954996726,W2402144811
W2954996726,W2953106684
W2954996726,W2095705004
W2954996726,W2194775991
W2954996726,W1903029394
W2954996726,W2099471712
W2954996726,W2102605133
W2954996726,W2963446712
W2954996726,W2963470893
W2954996726,W2138011018
W2954996726,W1936750108
W2109255472,W2153635508
W2109255472,W2145287260
W2109255472,W2027922120
W2109255472,W2102605133
W2109255472,W2062118960
W2109255472,W2163605009
W2109255472,W1606858007
W2109255472,W2117539524
W2109255472,W2037227137
W2109255472,W2097117768
W2109255472,W2179352600
W2193503481,W2108940449
W2193503481,W2054653365
W2193503481,W1992193293
W2193503481,W2024966118
W2193503481,W1991308688
W2193503481,W2981420978
W2131568786,W1640894779
W2131568786,W2159401492
W2763766763,W2103879113
W2763766763,W81685006
W2763766763,W377384883
W2763766763,W2149868499
W2763766763,W1990415494
W2395611524,W639708223
W2395611524,W2155893237
W2395611524,W2022508996
W2395611524,W1903029394
W2395611524,W2097117768
W2395611524,W2109255472
W2395611524,W1849277567
W2395611524,W2179352600
W2395611524,W1901129140
W2395611524,W125693051
W2963091558,W2117539524
W2963091558,W2565639579
W2963091558,W639708223
W2963091558,W1677182931
W2963091558,W2194775991
W2963091558,W2105101328
W2963091558,W2549139847
W2963091558,W1947481528
W2963091558,W2963150697
W2963091558,W1522734439
W2963091558,W1861492603
W2963091558,W1665214252
W2963091558,W2147880316
W2014451195,W1973408623
W2345356016,W2010457001
W2345356016,W2070050178
W2345356016,W1533942137
W2345356016,W2118258530
W2345356016,W1979594866
W2170747616,W2124351063
W2170747616,W2125826054
W2962785568,W2242218935
W2962785568,W2475287302
W2962785568,W2117539524
W2962785568,W2141983208
W2962785568,W2331128040
W2962785568,W2963470893
W2962785568,W2163605009
W3126081245,W3122846673
W3126081245,W2891649320
W3126081245,W3021143228
W3126081245,W4236290419
W2786358356,W1951724000
W2786358356,W2749069611
W2786358356,W2144673831
W2962756421,W2163922914
W2962756421,W2010457001
W2962756421,W2250539671
W2295107390,W2102605133
W2295107390,W2062118960
W2295107390,W2117539524
W2295107390,W2962851944
W2295107390,W1849277567
W2295107390,W2163605009
W2295107390,W2097117768
W2118258530,W2259938310
W2118258530,W2519244818
W2607129810,W2158485828
W2607129810,W1533942137
W2607129810,W2018838463
W2607129810,W2012034410
W2404280981,W2161605421
W2404280981,W2060872117
W2404280981,W2332712348
W2130430382,W2117692326
W2130430382,W2049491375
W2130430382,W2161289668
W2130430382,W2123696077
W2130430382,W2096283457
W2130430382,W2262414037
W2130430382,W2275877493
W2130430382,W2041440766
W2130430382,W2006617902
W2130430382,W2118278569
W2130430382,W2150575159
W2130430382,W1999574084
W2130430382,W2043398720
W2130430382,W2157795344
W3012099172,W3004896487
W3012099172,W3008696669
W2801159594,W2026062398
W2801159594,W2130362098
W2801159594,W2148698435
W2160815625,W2147768505
W2160815625,W1533861849
W2160815625,W2145094598
W2323326409,W2140729960
W2323326409,W2141458291
W2323326409,W2134526812
W2323326409,W1999574084
W2107772251,W2120902911
W2107772251,W2141920662
W2141708418,W2085876742
W2754799758,W2524597629
W2754799758,W2305278139
W2754799758,W1780778418
W2754799758,W2097116556
W2754799758,W409344806
W1803102843,W2037312364
W1803102843,W2059145105
W2513506562,W2072970694
W2513506562,W2124351063
W2513506562,W2088833470
W2513506562,W2136879569
W2513506562,W2128769815
W2513506562,W2034285706
W2513506562,W1999167944
W2513506562,W2128711701
W2117228865,W1491719799
W1976770755,W1515587369
W1976770755,W4299588845
W2331393505,W2103879113
W2331393505,W2108696783
W2331128040,W1885185971
W2331128040,W1903029394
W2331128040,W1905829557
W2331128040,W2475287302
W2331128040,W2022508996
W2331128040,W2121058967
W2331128040,W1930824406
W2331128040,W2194775991
W2331128040,W2117539524
W2331128040,W1861492603
W2331128040,W2141983208
W2331128040,W54257720
W2331128040,W2963684088
W2302255633,W2194775991
W2302255633,W2117539524
W2302255633,W1861492603
W2302255633,W2183341477
W2302255633,W2097117768
W2302255633,W1677182931
W2302255633,W1665214252
W2302255633,W2963285578
W2302255633,W2274287116
W2406250479,W2180481128
W2406250479,W2114843025
W2582524520,W2129497119
W2951464304,W2111211467
W2951464304,W1983102293
W2951464304,W2111647009
W2319902168,W2319902168
W2319902168,W1969360633
W2085028749,W2044858486
W2901669506,W2105321265
W2901669506,W2084154288
W2901669506,W2091538045
W2901669506,W2891378911
W2028046413,W2028056984
W2028046413,W2169678694
W2028046413,W1965092590
W1998025025,W2100533358
W1998025025,W4294541781
W1998025025,W2097360283
W1998025025,W1554944419
W2493916176,W1810943226
W2915783575,W2129031626
W1982855075,W2119180969
W1982855075,W2170551349
W1982855075,W2117131162
W2121607567,W2058541903
W2121607567,W1978906881
W1605984840,W2117801354
W2560609797,W2211722331
W2560609797,W1644641054
W2560609797,W1920022804
W2080283023,W2072970694
W2587625522,W114517082
W2587625522,W104184427
W1522734439,W2155893237
W1522734439,W2016053056
W1522734439,W2105101328
W1522734439,W1947481528
W1522734439,W2163605009
W1522734439,W2102605133
W1522734439,W1849277567
W1885185971,W2155893237
W1885185971,W1930824406
W1885185971,W2121058967
W1885185971,W2179352600
W1885185971,W1665214252
W1885185971,W54257720
W1885185971,W2163605009
W2145555293,W2171811563
W2145555293,W2002463857
W2145555293,W2108696783
W2151207643,W2015693422
W2117131162,W2021341670
W2117131162,W2171777347
W2117131162,W2149992227
W2117131162,W2161289668
W2117131162,W2153056550
W2239306219,W2085028749
W2239306219,W2239306219
W2970641574,W2963341956
W2970641574,W2250539671
W2970641574,W2251939518
W2115579991,W2150066425
W2101291993,W2094201044
W2101291993,W4320301318
W2884561390,W2194775991
W2884561390,W1903029394
W2884561390,W2549139847
W2884561390,W2088049833
W2884561390,W2565639579
W2884561390,W2963150697
