cited,cites
W2119180969,W2128016314
W2124026197,W2109184569
W2124026197,W2144081223
W2124026197,W2144998676
W2124026197,W2074986801
W2102619694,W2128016314
W2102619694,W2108234281
W2180229411,W2109184569
W2180229411,W2130479394
W2180229411,W2154714625
W2180229411,W2144081223
W2180229411,W2074986801
W2180229411,W2163341755
W2180229411,W2131350133
W2180229411,W255996521
W2124351063,W2132926880
W2124351063,W2156125289
W2124351063,W2141885858
W2111211467,W2103546861
W2111211467,W2163627198
W2111211467,W2146058063
W2111211467,W2168696662
W2111211467,W2127847431
W2111211467,W2062018285
W2111211467,W2031611770
W2139168999,W2033585778
W2139168999,W2126930838
W1990074132,W2098595817
W1990074132,W2161633633
W1990074132,W2119799171
W2152239989,W2154431984
W2152239989,W2121211805
W2152239989,W2119034410
W2152239989,W2114104545
W2152239989,W2107018762
W2152239989,W2081098333
W2152239989,W2160697532
W2152239989,W2124985265
W2152239989,W2158698691
W2105103777,W2168452204
W2031611770,W2127847431
W2031611770,W2111211467
W2031611770,W2151692850
W2031611770,W2168696662
W2031611770,W1988925586
W2031611770,W2105329815
W2031611770,W2103546861
W2017871657,W2134233006
W2097360283,W2138019504
W2097360283,W2020925091
W2097360283,W2074682976
W2097360283,W2063978378
W2097360283,W2132555912
W2097360283,W2115706991
W2097360283,W2122825543
W1665214252,W2116064496
W1665214252,W2136922672
W1665214252,W2100495367
W2084154288,W2075950485
W2084154288,W2142225512
W1533861849,W2136922672
W1533861849,W2025768430
W1533861849,W2117130368
W4247053599,W2132341951
W4247053599,W2124985265
W4247053599,W2103441770
W4247053599,W2112113834
W4247053599,W2108234281
W4247053599,W2139760555
W4247053599,W2055666215
W2143485490,W2105199251
W2143485490,W2170488656
W2028302194,W2168696662
W2028302194,W2146058063
W2131568786,W2068719957
W2131568786,W1995031937
W2131568786,W2038702827
W2131568786,W2104057213
W2166073443,W2128495200
W2166073443,W2135894974
W2080283023,W2047774330
W2080283023,W2127602818
W2080283023,W2156125289
W2080283023,W2105329815
W2080283023,W2152885278
W2080283023,W2170024099
W2080283023,W2144568881
W2080283023,W2149573313
W2080283023,W2154736508
W2134843796,W2065974896
W2134843796,W1550443206
W2033151532,W2117446594
W2033151532,W2155496693
W2033151532,W2067715889
W2033151532,W2157752701
W2033151532,W2158489424
W2033151532,W2098597355
W2033151532,W2161633633
W2033151532,W2134783591
W2033151532,W1577941315
W2146502635,W3120740533
W2146502635,W2108598243
W2107060225,W2155804510
W2107060225,W2130410032
W2107060225,W2158217645
W2107060225,W2103017472
W2107060225,W2114104545
W2107060225,W2154431984
W2107060225,W2121211805
W2107060225,W2124985265
W2107060225,W2107018762
W2140092196,W2024641550
W2140092196,W4255411484
W4296816736,W2142960568
W4296816736,W1544923801
W2101196063,W2061820396
W2147601077,W2133475491
W2049069390,W4296816736
W2049069390,W2108696783
W2049069390,W2142960568
W2049069390,W1544923801
W2103879113,W2113537253
W2037312364,W2130479394
W2037312364,W2060259273
W2037312364,W2102245393
W2037312364,W2103017472
W2037312364,W2155201844
W2037312364,W2161062388
W2133360663,W2107794977
W2133360663,W2170024099
W2133360663,W2151409320
W2133360663,W2109628725
W2133360663,W1990221500
W2161605421,W2144288821
W2161605421,W2024726841
W2128254161,W2099244020
W1965092590,W2140886907
W1965092590,W2062852634
W1965092590,W2044591029
W2110158442,W2121927366
W2110158442,W1999478155
W2110158442,W2067191022
W2110158442,W2121947440
W2110158442,W2116040950
W2110158442,W2124351162
W2121058967,W2053186076
W2121058967,W4250955649
W2121058967,W2153663612
W2121058967,W2160547390
W2145094598,W2116064496
W2145094598,W2025768430
W2145094598,W2100495367
W2145094598,W2136922672
W3125057276,W2096684396
W2156194072,W2137340504
W2156194072,W2155529731
W2156194072,W2126105956
W2156194072,W2145479420
W2155142785,W2159675211
W2045287414,W2114296561
W2045287414,W1977367431
W1977601452,W2161339576
