Node ID,Year 0 (Deviation Score), Year 0 (Is Anomaly),Year 1 (Deviation Score), Year 1 (Is Anomaly),Year 2 (Deviation Score), Year 2 (Is Anomaly),Year 3 (Deviation Score), Year 3 (Is Anomaly),Year 4 (Deviation Score), Year 4 (Is Anomaly),Mean Deviation Score,Anomaly Status Churn
1958,0.08899984927847981,0,0.13874979053313533,0,0.13874997105449438,0,0.10485918427972744,0,0.10363410661617915,0,0.11499858035240322,0
1959,0.1250199310015887,0,0.12501969056514403,0,0.12501969227256873,0,0.12501998261238137,0,0.12501990779613456,0,0.12501984084956347,0
1960,0.10404021587843697,0,0.22480021774147949,0,0.1311445434888204,0,0.10403910904036213,0,0.10403866869940732,0,0.1336125509697013,0
1961,0.12491991471809645,0,0.1259253153887888,0,0.1259253153887888,0,0.12233780471918483,0,0.11858184798620641,0,0.12353803964021304,0
1962,0.11774028822158773,0,0.13175863648454347,0,0.13176017394289374,0,0.11776826111599803,0,0.11773273341047268,0,0.12335201863509912,0
1963,0.10396975403030713,0,0.10396975018860151,0,0.1102182074682787,0,0.1039697549228246,0,0.10396975348703563,0,0.1052194440194095,0
1964,0.11699595185928047,0,0.15443900988126794,0,0.13108968563998738,0,0.11699595216972132,0,0.11699595185928047,0,0.1273033102819075,0
1965,0.05932191262642542,0,0.05932191386818886,0,0.05932191386818886,0,0.05932191262642542,0,0.05932191821436087,0,0.059321914240717886,0
1966,0.07872439331064622,0,0.1310896722910305,0,0.1310896722910305,0,0.0787243942419688,0,0.07872439331064622,0,0.09967050508906446,0
1967,0.08363079085635643,0,0.14331739450184008,0,0.14331739450184008,0,0.08321953038102947,0,0.08171519935907175,0,0.10704006192002757,0
1968,0.11699593183584511,0,0.13108966359868646,0,0.13108966359868646,0,0.11699593183584511,0,0.11699593183584511,0,0.12263342454098165,0
1969,0.11220628345229973,0,0.4504547060156862,1,0.41556331623966497,1,0.11220632831100374,0,0.11220626102294773,0,0.2405273790083205,1
1970,0.11699597079617281,0,0.11699597164988518,0,0.11699597149466474,0,0.11699596839025617,0,0.11699597234837711,0,0.11699597093587119,0
1971,0.11858186878574391,0,0.12592534441500902,0,0.12592534348368645,0,0.11858186894096434,0,0.11858186855291326,0,0.12151925883566339,0
1972,0.08712887337120871,0,0.13869348571946225,0,0.13869348571946225,0,0.08712887337120871,0,0.0871288743801415,0,0.10775471851229668,0
1973,0.09040427161380649,0,0.09040426788851619,0,0.09040426788851619,0,0.09040427207946777,0,0.09040426998399198,0,0.09040426989085973,0
1974,0.10483850168141846,0,0.13108969355622926,0,0.13108969355622926,0,0.11021816032007337,0,0.10396970321501915,0,0.1162411504657939,0
1975,0.09975196545322736,0,0.5916659549499551,1,0.13869348649556437,0,0.09975196599649887,0,0.09975196785914402,0,0.20592306815087796,1
1976,0.11485940194688737,0,0.14120897060881057,0,0.14119477414836487,0,0.11487036019874115,0,0.11483273771591485,0,0.12539324892374376,0
1977,0.08666051679756492,0,0.1433173994688938,0,0.1433173994688938,0,0.0930515182747816,0,0.11518472559206809,0,0.11630631192044043,0
1978,0.1310897363970677,0,0.1310897342239817,0,0.1310897342239817,0,0.13108973546574512,0,0.13108973608662686,0,0.13108973527948062,0
1979,0.05910787358880043,0,0.12592532687510052,0,0.12592532687510052,0,0.05910787358880043,0,0.05910787358880043,0,0.08583485490332046,0
1980,0.06413785911475618,0,0.1259253271855414,0,0.1259253271855414,0,0.07057977095246315,0,0.04698092304170132,0,0.08670984149600068,0
1981,0.12592758052051067,0,0.12592730034763613,0,0.12592730593557158,0,0.1259276467996339,0,0.12592755475391945,0,0.12592747767145435,0
1982,0.09142323024570942,0,0.7417189949192107,1,0.13109071692451835,0,0.09142326097935438,0,0.09142321379234393,0,0.22941588337222735,1
1983,0.07381400528053443,0,0.13869513757526875,0,0.1386951495272418,0,0.1050066362755994,0,0.07381397299468517,0,0.10600498033066592,0
1984,0.10397077644787107,0,0.22477741166949272,0,0.13109062736233076,0,0.10397080502783258,0,0.1039707589467677,0,0.13355607589085897,0
1985,0.0373064074665308,0,0.06490469848116238,0,0.06514878508945306,0,0.03730643726885319,0,0.03730643602708975,0,0.04839455286661783,0
1986,0.10751488474973787,0,0.13172316908215484,0,0.1317246175991992,0,0.09790007816627622,0,0.09223112013811867,0,0.11221877394709737,0
1987,0.11520408161838229,0,0.09678964246995747,0,0.44848831921505433,1,0.11520368539883445,0,0.11520363865808274,0,0.17817787347206224,1
1988,0.12885751669333936,0,0.1433506999940922,0,0.1433507772938659,0,0.12885658830055036,0,0.12885657113414103,0,0.13465443068319777,0
1989,0.11544677013686548,0,0.1153946346603334,0,0.09548570790017645,0,0.11544124244634683,0,0.11544153202945988,0,0.11144197743463642,0
1990,0.10396969397940363,0,0.13108968563998738,0,0.13108968563998738,0,0.10396969467789556,0,0.10396969397940363,0,0.11481769078333552,0
1991,0.12592918518930674,0,0.1259287029194335,0,0.12592872294286886,0,0.12592930036286512,0,0.12592912170415124,0,0.12592900662372508,0
1992,0.3809741058697303,1,0.39458090004821617,1,2.5349267961767814,1,0.38097402391334373,1,0.3809741095950206,1,0.8144859871206185,0
1993,0.036943226431806885,0,0.661725550579528,1,0.1310910366786023,0,0.036943260580301285,0,0.036943222085634865,0,0.18072925927117467,1
1994,0.7425583135336637,1,0.7497440309574207,1,0.7892531597365936,1,0.7425582886983951,1,0.7425583073248466,1,0.753334420050184,0
1995,0.38097423252960044,1,2.220672244671732,1,0.13109270157292485,0,0.3809742300460736,1,0.3809742784748475,1,0.6989375374590356,1
1996,0.13786220519493023,0,0.1368131355072061,0,0.13679965709646544,0,0.1377620929852128,0,0.13775530581672987,0,0.1373984793201089,0
1997,0.04372380053003629,0,0.07004121628900369,0,0.05414933773378531,0,0.043723770727713905,0,0.043723806738853455,0,0.051072386403878525,0
1998,0.12268928554840386,0,0.12177629450646539,0,0.1281257797187815,0,0.12259590726656218,0,0.12259637354873121,0,0.12355672811778881,0
1999,0.06525797458986442,0,0.07935584879790743,0,0.07482095466305812,0,0.06525800315042336,0,0.06525795999914408,0,0.06999014824007947,0
2000,0.11194987637766947,0,0.12592751843233904,0,0.1259275327126185,0,0.11194994490748893,0,0.11194983993967374,0,0.11754094247395794,0
2001,0.10397103894501925,0,0.11010676350754996,0,0.321631814353168,0,0.10397107113385573,0,0.10397102157973374,0,0.1487303419038653,0
2002,0.12501964097221693,0,0.12474277382716537,0,0.12397088948637247,0,0.12501968808161715,0,0.1250196188533058,0,0.12475452224413555,0
2003,0.03733587761720022,0,0.11123683388965826,0,0.11123684102979799,0,0.06676526181399822,0,0.04936398503681024,0,0.07518775987749297,0
2004,0.12592728606735668,0,0.1259270329028368,0,0.1259270392668744,0,0.12592732782165209,0,0.12592726744090518,0,0.12592719069992503,0
2005,0.0652579814195633,0,0.13109072654818496,0,0.13109073027347526,0,0.08267283299937844,0,0.06525797427942355,0,0.0950740491040051,0
2006,0.11858371885803838,0,0.16363808993871012,0,0.15096493515496454,0,0.11858376635548969,0,0.11858369076314072,0,0.1340708402140687,0
2007,0.13890628765026727,0,0.1388620821138223,0,0.1388625648493568,0,0.13890233434115848,0,0.13890149366731444,0,0.13888695252438385,0
2008,0.1250580403332909,0,0.130154985236004,0,0.16058205518250665,0,0.12505744490772486,0,0.12505714036524296,0,0.1331819332049539,0
2009,0.10397152365961422,0,0.4263834129087627,1,0.13109124964103103,0,0.10397157251524429,0,0.1039715005705754,0,0.17387785185904553,1
2010,0.09501128147045772,0,0.11123709108990927,0,0.11123709776438773,0,0.0862487379539137,0,0.08255886721114318,0,0.09725861509796233,0
